Year,Area,Economic activity,Size of establishment,Division of industry,Level of education IT personal (Total),Lower high vocational,High vocational certificate,Bachelor's degree,Master's degree,Doctorate and higher degree
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",01) 1 - 10 persons,"91) Libraries, archives, museums and other cultural activities",1.5,0.0,0.0,1.5,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",01) 1 - 10 persons,Total,1.5,0.0,0.0,1.5,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",02) 11 - 15 persons,"91) Libraries, archives, museums and other cultural activities",0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",02) 11 - 15 persons,Total,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",03) 16 - 25 persons,"91) Libraries, archives, museums and other cultural activities",0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",03) 16 - 25 persons,Total,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",04) 26 - 30 persons,"91) Libraries, archives, museums and other cultural activities",0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",04) 26 - 30 persons,Total,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",05) 31 - 50 persons,"91) Libraries, archives, museums and other cultural activities",1.0,0.0,0.0,1.0,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",05) 31 - 50 persons,Total,1.0,0.0,0.0,1.0,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",06) 51 -  200 persons,"91) Libraries, archives, museums and other cultural activities",4.2857,0.0,0.0,4.2857,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",06) 51 -  200 persons,Total,4.2857,0.0,0.0,4.2857,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",07) More than 200 persons,"91) Libraries, archives, museums and other cultural activities",8.0,2.0,2.0,4.0,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",07) More than 200 persons,Total,8.0,2.0,2.0,4.0,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",Total,"91) Libraries, archives, museums and other cultural activities",14.7857,2.0,2.0,10.7857,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",Total,Total,14.7857,2.0,2.0,10.7857,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,10) Manufacture of food products,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,11) Manufacture of beverages,17.1591,17.1591,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,12) Manufacture of tobacco products,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,13) Manufacture of textiles,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,14) Manufacture of wearing apparel,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,15) Manufacture of leather and related products,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,"16) Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,17) Manufacture of paper and paper products,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,18) Printing and reproduction of recorded media,667.4352,0.0,258.2031,409.2323,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,19) Manufacture of coke and refined petroleum products,8.3333,5.0,1.6667,1.6667,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,20) Manufacture of chemicals and chemical products,10.16,0.0,0.0,10.16,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,"21) Manufacture of pharmaceuticals, medicinal chemical and botanical products",0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,22) Manufacture of rubber and plastics products,31.75,0.0,0.0,31.75,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,23) Manufacture of other non-metallic mineral products,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,24) Manufacture of basic metals,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,"25) Manufacture of fabricated metal products, except machinery and equipment",0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,"26) Manufacture of computer, electronic and optical products",35.0182,0.0,0.0,35.0182,0.0,0.0
