Year,Area,Economic activity,Size of establishment,Division of industry,Number of establishments using Internet,Sending or receiving  e-mail  ,Getting information about goods  or services ,Getting information from government organizations ,Interacting with  government organization ,Purchase/ sale goods and services or trading  partner,Delivering products  online  in digitized  form  ,Internet banking or accessing other financial services , Training via e-learning  system ,VoIP / video conferencing,Use of instant messaging/ bulletin boards  ,Internal or  external recruitment  
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,45) Wholesale and retail trade and repair of motor vehicles and motorcycles,69391.3672,43157.5458,59196.4846,29753.0463,26186.1438,29352.8035,2147.7542,27739.9415,4045.9377,6178.09773536,29561.46720173,6198.79895502
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,"46) Wholesale trade, except of motor vehicles and motorcycles",42456.1023,28723.6223,30663.0753,19475.632,19469.4196,15664.1036,2696.367,15696.4258,1302.5762,5767.98821273,20567.03667007,6256.54139502
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,"47) Retail trade, except of motor vehicles and motorcycles",281770.3089,173265.5392,197993.1724,107408.3364,92982.7738,139718.6478,15355.8672,106930.4843,22962.9526,46955.27010385,137109.51925067,26780.89066245
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,55) Accommodation,9912.3904,7775.2102,7774.2038,4359.6611,3659.4459,4590.444,505.6653,3541.9865,241.4554,1240.57552208,4429.07333416,580.31068723
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,56) Food and beverage service activities,119808.3346,50318.7841,59261.2672,23183.1377,9973.6387,53260.3087,4404.2717,43213.8415,7202.5204,20391.69591514,68544.00978002,12839.44418054
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,68) Real estate activities,60162.7757,43363.5885,45999.1867,36006.9392,29229.7353,13621.5682,3948.0413,17772.1309,3385.7797,6731.17543155,21981.16529256,5832.87475359
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,69) Legal and accounting activities,6378.1692,5386.9029,4632.1538,5026.5428,3931.9035,990.5958,205.828,2236.8809,540.8667,1118.08712194,2653.21616902,750.45007314
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,70) Activities of head offices; management consultancy activities,587.2936,579.4047,531.0259,332.8122,453.9233,326.6644,7.1011,192.7413,67.0889,200.20202022,344.13752917,105.35101011
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,71) Architectural and engineering activities; technical testing and analysis,1700.8525,1287.0985,1151.1204,1215.5079,1164.1175,365.8377,57.4242,654.9445,62.9725,211.36696859,660.79960869,111.65497492
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,72) Scientific research and development,18.3333,18.3333,13.5239,9.619,3.1428,4.1429,0.0,3.2381,3.1429,1.57142857,7.80952381,4.71428571
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,73) Advertising and market research,4440.709,3654.9136,3819.811,1932.8631,1936.3766,1798.9564,883.8761,1623.559,228.4977,664.8268879,1841.62813107,418.96852816
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,"74) Other professional, scientific and technical activities",5226.0339,3725.67,4303.9611,2469.8506,2149.7845,1650.1377,503.0142,1914.9682,149.96,527.85439394,2225.22287873,267.19757576
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,77) Rental and leasing activities,5422.1097,2703.1253,3833.4677,1815.3734,1258.734,2219.3653,354.7469,1920.7568,195.3238,640.45468139,2984.24619984,187.60300207
