Year,Area,Economic activity,Size of establishment,Division of industry,Number of establishments needing ICT personnel,Total of Need (ICT personnel ),Need - Chief Information Officer - CIO  ,Need - Information Technology Department Manager,Need - Computer System  Designers and Analysts  ,Need - Computer Programmer,Need - Computer Associate Professionals,Need - Others
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",01) 1 - 10 persons,"91) Libraries, archives, museums and other cultural activities",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",01) 1 - 10 persons,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",02) 11 - 15 persons,"91) Libraries, archives, museums and other cultural activities",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",02) 11 - 15 persons,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",03) 16 - 25 persons,"91) Libraries, archives, museums and other cultural activities",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",03) 16 - 25 persons,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",04) 26 - 30 persons,"91) Libraries, archives, museums and other cultural activities",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",04) 26 - 30 persons,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",05) 31 - 50 persons,"91) Libraries, archives, museums and other cultural activities",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",05) 31 - 50 persons,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",06) 51 -  200 persons,"91) Libraries, archives, museums and other cultural activities",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",06) 51 -  200 persons,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",07) More than 200 persons,"91) Libraries, archives, museums and other cultural activities",1.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",07) More than 200 persons,Total,1.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",Total,"91) Libraries, archives, museums and other cultural activities",1.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0
2020,1) Municipal Area,"01) Libraries, archives, museums    and other cultural",Total,Total,1.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,10) Manufacture of food products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,11) Manufacture of beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,12) Manufacture of tobacco products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,13) Manufacture of textiles,18.3421,18.3421,0.0,0.0,0.0,0.0,0.0,18.3421
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,14) Manufacture of wearing apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,15) Manufacture of leather and related products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,"16) Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,17) Manufacture of paper and paper products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,18) Printing and reproduction of recorded media,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,19) Manufacture of coke and refined petroleum products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,20) Manufacture of chemicals and chemical products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,"21) Manufacture of pharmaceuticals, medicinal chemical and botanical products",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,22) Manufacture of rubber and plastics products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,23) Manufacture of other non-metallic mineral products,10.7556,10.7556,0.0,0.0,0.0,0.0,0.0,10.7556
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,24) Manufacture of basic metals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,"25) Manufacture of fabricated metal products, except machinery and equipment",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,"26) Manufacture of computer, electronic and optical products",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,27) Manufacture of electrical equipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,28) Manufacture of machinery and equipment n.e.c.,2.1111,4.2222,0.0,0.0,0.0,0.0,4.2222,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,"29) Manufacture of motor vehicles, trailers and semi-trailers",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,30) Manufacture of other transport equipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,31) Manufacture of furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,32) Other manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,33) Repair and installation of machinery and equipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,37) Sewerage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,"38) Waste collection, treatment and disposal activities; materials recovery",2.7619,2.7619,0.0,0.0,0.0,0.0,2.7619,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,39) Remediation activities and other waste management services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,01) 1 - 10 persons,Total,33.9707,36.0818,0.0,0.0,0.0,0.0,6.9841,29.0977
2020,1) Municipal Area,02) Manufacturing,02) 11 - 15 persons,10) Manufacture of food products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,02) 11 - 15 persons,11) Manufacture of beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,02) 11 - 15 persons,12) Manufacture of tobacco products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,02) 11 - 15 persons,13) Manufacture of textiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,02) 11 - 15 persons,14) Manufacture of wearing apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,02) 11 - 15 persons,15) Manufacture of leather and related products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,02) 11 - 15 persons,"16) Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,02) 11 - 15 persons,17) Manufacture of paper and paper products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,02) 11 - 15 persons,18) Printing and reproduction of recorded media,2.2727,4.5455,0.0,0.0,0.0,0.0,2.2727,2.2727
2020,1) Municipal Area,02) Manufacturing,02) 11 - 15 persons,19) Manufacture of coke and refined petroleum products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,02) 11 - 15 persons,20) Manufacture of chemicals and chemical products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,02) 11 - 15 persons,"21) Manufacture of pharmaceuticals, medicinal chemical and botanical products",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,02) 11 - 15 persons,22) Manufacture of rubber and plastics products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,02) 11 - 15 persons,23) Manufacture of other non-metallic mineral products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,02) 11 - 15 persons,24) Manufacture of basic metals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,02) 11 - 15 persons,"25) Manufacture of fabricated metal products, except machinery and equipment",7.8667,15.7333,0.0,15.7333,0.0,0.0,0.0,0.0
2020,1) Municipal Area,02) Manufacturing,02) 11 - 15 persons,"26) Manufacture of computer, electronic and optical products",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
